Type,Model Year,JD,RA (deg),Obliquity (deg)
VE,-302355,-108711662.809984,356.847862,-0.000000
SS,-302355,-108711572.968555,86.847898,23.445219
AE,-302355,-108711483.281054,176.847935,-0.000000
WS,-302355,-108711390.504357,266.847972,-23.445218
VE,-302326,-108701070.783035,356.852202,-0.000000
SS,-302326,-108700980.927049,86.852238,23.445127
AE,-302326,-108700891.252574,176.852276,-0.000000
WS,-302326,-108700798.490926,266.852313,-23.445125
VE,-302297,-108690478.756195,356.856542,-0.000000
SS,-302297,-108690388.885550,86.856577,23.445024
AE,-302297,-108690299.223988,176.856615,-0.000000
WS,-302297,-108690206.477490,266.856652,-23.445022
VE,-302268,-108679886.729465,356.860879,-0.000000
SS,-302268,-108679796.844059,86.860915,23.444910
AE,-302268,-108679707.195296,176.860953,-0.000000
WS,-302268,-108679614.464049,266.860989,-23.444908
VE,-302239,-108669294.702845,356.865215,-0.000000
SS,-302239,-108669204.802578,86.865251,23.444787
AE,-302239,-108669115.166498,176.865289,-0.000000
WS,-302239,-108669022.450601,266.865325,-23.444785
VE,-302210,-108658702.676335,356.869550,-0.000000
SS,-302210,-108658612.761106,86.869585,23.444653
AE,-302210,-108658523.137595,176.869623,-0.000000
WS,-302210,-108658430.437147,266.869659,-23.444651
VE,-302181,-108648110.649936,356.873882,0.000000
SS,-302181,-108648020.719644,86.873917,23.444510
AE,-302181,-108647931.108586,176.873956,-0.000000
WS,-302181,-108647838.423686,266.873991,-23.444507
VE,-302152,-108637518.623646,356.878213,-0.000000
SS,-302152,-108637428.678194,86.878247,23.444356
AE,-302152,-108637339.079472,176.878286,-0.000000
WS,-302152,-108637246.410216,266.878322,-23.444353
VE,-302123,-108626926.597467,356.882541,-0.000000
SS,-302123,-108626836.636757,86.882575,23.444192
AE,-302123,-108626747.050252,176.882614,-0.000000
WS,-302123,-108626654.396738,266.882650,-23.444189
VE,-302094,-108616334.571398,356.886867,-0.000000
SS,-302094,-108616244.595332,86.886901,23.444017
AE,-302094,-108616155.020928,176.886940,-0.000000
WS,-302094,-108616062.383251,266.886976,-23.444014
VE,-302065,-108605742.545440,356.891191,-0.000000
SS,-302065,-108605652.553920,86.891225,23.443833
AE,-302065,-108605562.991499,176.891264,-0.000000
WS,-302065,-108605470.369754,266.891299,-23.443829
VE,-302036,-108595150.519593,356.895512,-0.000000
SS,-302036,-108595060.512524,86.895546,23.443638
AE,-302036,-108594970.961965,176.895585,0.000000
WS,-302036,-108594878.356246,266.895620,-23.443634
VE,-302007,-108584558.493856,356.899831,-0.000000
SS,-302007,-108584468.471142,86.899865,23.443433
AE,-302007,-108584378.932327,176.899904,-0.000000
WS,-302007,-108584286.342728,266.899939,-23.443429
VE,-301978,-108573966.468230,356.904147,-0.000000
SS,-301978,-108573876.429777,86.904180,23.443218
AE,-301978,-108573786.902585,176.904220,-0.000000
WS,-301978,-108573694.329197,266.904254,-23.443214
VE,-301949,-108563374.442714,356.908460,-0.000000
SS,-301949,-108563284.388429,86.908493,23.442993
AE,-301949,-108563194.872739,176.908533,-0.000000
WS,-301949,-108563102.315655,266.908567,-23.442989
VE,-301920,-108552782.417310,356.912770,0.000000
SS,-301920,-108552692.347098,86.912803,23.442757
AE,-301920,-108552602.842789,176.912843,-0.000000
WS,-301920,-108552510.302099,266.912877,-23.442753
VE,-301891,-108542190.392016,356.917077,-0.000000
SS,-301891,-108542100.305786,86.917110,23.442512
AE,-301891,-108542010.812735,176.917150,-0.000000
WS,-301891,-108541918.288530,266.917184,-23.442508
VE,-301862,-108531598.366834,356.921381,0.000000
SS,-301862,-108531508.264493,86.921414,23.442256
AE,-301862,-108531418.782578,176.921454,-0.000000
WS,-301862,-108531326.274946,266.921488,-23.442252
VE,-301833,-108521006.341763,356.925682,-0.000000
SS,-301833,-108520916.223220,86.925715,23.441990
AE,-301833,-108520826.752318,176.925755,-0.000000
WS,-301833,-108520734.261348,266.925788,-23.441986
VE,-301804,-108510414.316803,356.929979,-0.000000
SS,-301804,-108510324.181967,86.930012,23.441715
AE,-301804,-108510234.721955,176.930052,-0.000000
WS,-301804,-108510142.247734,266.930085,-23.441710
VE,-301775,-108499822.291955,356.934273,0.000000
SS,-301775,-108499732.140737,86.934305,23.441428
AE,-301775,-108499642.691489,176.934345,-0.000000
WS,-301775,-108499550.234104,266.934379,-23.441423
VE,-301746,-108489230.267217,356.938563,0.000000
SS,-301746,-108489140.099529,86.938595,23.441132
AE,-301746,-108489050.660921,176.938635,-0.000000
WS,-301746,-108488958.220458,266.938668,-23.441127
VE,-301717,-108478638.242591,356.942849,-0.000000
SS,-301717,-108478548.058344,86.942881,23.440826
AE,-301717,-108478458.630250,176.942921,-0.000000
WS,-301717,-108478366.206794,266.942954,-23.440821
VE,-301688,-108468046.218077,356.947131,0.000000
SS,-301688,-108467956.017183,86.947163,23.440510
AE,-301688,-108467866.599477,176.947204,-0.000000
WS,-301688,-108467774.193112,266.947237,-23.440504
VE,-301659,-108457454.193674,356.951409,-0.000000
SS,-301659,-108457363.976047,86.951441,23.440183
AE,-301659,-108457274.568603,176.951482,-0.000000
WS,-301659,-108457182.179411,266.951515,-23.440177
VE,-301630,-108446862.169383,356.955684,0.000000
SS,-301630,-108446771.934936,86.955715,23.439846
AE,-301630,-108446682.537626,176.955756,-0.000000
WS,-301630,-108446590.165691,266.955788,-23.439841
VE,-301601,-108436270.145203,356.959954,-0.000000
SS,-301601,-108436179.893852,86.959985,23.439500
AE,-301601,-108436090.506549,176.960026,-0.000000
WS,-301601,-108435998.151951,266.960058,-23.439494
VE,-301572,-108425678.121135,356.964219,0.000000
SS,-301572,-108425587.852795,86.964250,23.439143
AE,-301572,-108425498.475369,176.964291,-0.000000
WS,-301572,-108425406.138191,266.964323,-23.439137
VE,-301543,-108415086.097179,356.968480,-0.000000
SS,-301543,-108414995.811767,86.968511,23.438776
AE,-301543,-108414906.444089,176.968552,-0.000000
WS,-301543,-108414814.124409,266.968584,-23.438770
VE,-301514,-108404494.073335,356.972737,0.000000
SS,-301514,-108404403.770767,86.972768,23.438399
AE,-301514,-108404314.412708,176.972809,-0.000000
WS,-301514,-108404222.110606,266.972840,-23.438393
VE,-301485,-108393902.049602,356.976988,0.000000
SS,-301485,-108393811.729796,86.977019,23.438012
AE,-301485,-108393722.381227,176.977060,-0.000000
WS,-301485,-108393630.096780,266.977092,-23.438006
VE,-301456,-108383310.025982,356.981235,0.000000
SS,-301456,-108383219.688856,86.981266,23.437615
AE,-301456,-108383130.349645,176.981307,-0.000000
WS,-301456,-108383038.082931,266.981339,-23.437608
VE,-301427,-108372718.002473,356.985477,0.000000
SS,-301427,-108372627.647948,86.985508,23.437208
AE,-301427,-108372538.317963,176.985549,-0.000000
WS,-301427,-108372446.069058,266.985580,-23.437201
VE,-301398,-108362125.979076,356.989714,0.000000
SS,-301398,-108362035.607071,86.989744,23.436791
AE,-301398,-108361946.286182,176.989786,-0.000000
WS,-301398,-108361854.055161,266.989817,-23.436784
VE,-301369,-108351533.955791,356.993946,0.000000
SS,-301369,-108351443.566227,86.993976,23.436364
AE,-301369,-108351354.254300,176.994017,-0.000000
WS,-301369,-108351262.041239,266.994048,-23.436357
VE,-301340,-108340941.932618,356.998172,0.000000
SS,-301340,-108340851.525417,86.998202,23.435927
AE,-301340,-108340762.222320,176.998244,-0.000000
WS,-301340,-108340670.027290,266.998274,-23.435919
VE,-301311,-108330349.909557,357.002393,0.000000
SS,-301311,-108330259.484641,87.002423,23.435480
AE,-301311,-108330170.190240,177.002465,-0.000000
WS,-301311,-108330078.013316,267.002495,-23.435472
VE,-301282,-108319757.886608,357.006608,0.000000
SS,-301282,-108319667.443901,87.006638,23.435023
AE,-301282,-108319578.158062,177.006680,-0.000000
WS,-301282,-108319485.999315,267.006710,-23.435015
VE,-301253,-108309165.863771,357.010818,-0.000000
SS,-301253,-108309075.403197,87.010848,23.434556
AE,-301253,-108308986.125784,177.010889,-0.000000
WS,-301253,-108308893.985286,267.010919,-23.434548
VE,-301224,-108298573.841047,357.015022,-0.000000
SS,-301224,-108298483.362530,87.015051,23.434079
AE,-301224,-108298394.093409,177.015093,-0.000000
WS,-301224,-108298301.971228,267.015123,-23.434070
VE,-301195,-108287981.818434,357.019220,-0.000000
SS,-301195,-108287891.321901,87.019249,23.433592
AE,-301195,-108287802.060935,177.019291,-0.000000
WS,-301195,-108287709.957142,267.019321,-23.433583
VE,-301166,-108277389.795933,357.023412,-0.000000
SS,-301166,-108277299.281310,87.023441,23.433095
AE,-301166,-108277210.028364,177.023483,-0.000000
WS,-301166,-108277117.943026,267.023513,-23.433086
VE,-301137,-108266797.773545,357.027598,-0.000000
SS,-301137,-108266707.240759,87.027627,23.432588
AE,-301137,-108266617.995695,177.027669,-0.000000
WS,-301137,-108266525.928879,267.027698,-23.432579
VE,-301108,-108256205.751268,357.031778,0.000000
SS,-301108,-108256115.200247,87.031806,23.432071
AE,-301108,-108256025.962929,177.031849,-0.000000
WS,-301108,-108255933.914702,267.031877,-23.432062
VE,-301079,-108245613.729104,357.035951,0.000000
SS,-301079,-108245523.159778,87.035979,23.431544
AE,-301079,-108245433.930065,177.036022,-0.000000
WS,-301079,-108245341.900493,267.036050,-23.431535
VE,-301050,-108235021.707051,357.040118,0.000000
SS,-301050,-108234931.119350,87.040146,23.431008
AE,-301050,-108234841.897105,177.040188,-0.000000
WS,-301050,-108234749.886251,267.040217,-23.430998
VE,-301021,-108224429.685111,357.044278,-0.000000
SS,-301021,-108224339.078964,87.044306,23.430461
AE,-301021,-108224249.864049,177.044349,-0.000000
WS,-301021,-108224157.871977,267.044377,-23.430452
VE,-300992,-108213837.663283,357.048431,0.000000
SS,-300992,-108213747.038623,87.048459,23.429905
AE,-300992,-108213657.830896,177.048502,-0.000000
WS,-300992,-108213565.857669,267.048530,-23.429895
VE,-300963,-108203245.641567,357.052578,-0.000000
SS,-300963,-108203154.998325,87.052606,23.429339
AE,-300963,-108203065.797647,177.052648,-0.000000
WS,-300963,-108202973.843326,267.052676,-23.429329
VE,-300934,-108192653.619962,357.056718,-0.000000
SS,-300934,-108192562.958074,87.056745,23.428762
AE,-300934,-108192473.764303,177.056788,-0.000000
WS,-300934,-108192381.828949,267.056816,-23.428752
VE,-300905,-108182061.598470,357.060850,0.000000
SS,-300905,-108181970.917868,87.060878,23.428176
AE,-300905,-108181881.730864,177.060921,-0.000000
WS,-300905,-108181789.814536,267.060948,-23.428166
VE,-300876,-108171469.577090,357.064976,-0.000000
SS,-300876,-108171378.877709,87.065003,23.427581
AE,-300876,-108171289.697329,177.065046,-0.000000
WS,-300876,-108171197.800086,267.065073,-23.427570
VE,-300847,-108160877.555821,357.069094,0.000000
SS,-300847,-108160786.837598,87.069121,23.426975
AE,-300847,-108160697.663700,177.069164,-0.000000
WS,-300847,-108160605.785600,267.069191,-23.426965
VE,-300818,-108150285.534664,357.073205,0.000000
SS,-300818,-108150194.797536,87.073232,23.426360
AE,-300818,-108150105.629976,177.073275,-0.000000
WS,-300818,-108150013.771075,267.073301,-23.426349
VE,-300789,-108139693.513619,357.077308,-0.000000
SS,-300789,-108139602.757523,87.077335,23.425734
AE,-300789,-108139513.596159,177.077378,-0.000000
WS,-300789,-108139421.756513,267.077404,-23.425724
VE,-300760,-108129101.492686,357.081404,-0.000000
SS,-300760,-108129010.717561,87.081430,23.425099
AE,-300760,-108128921.562247,177.081473,-0.000000
WS,-300760,-108128829.741911,267.081500,-23.425088
VE,-300731,-108118509.471865,357.085491,-0.000000
SS,-300731,-108118418.677650,87.085518,23.424455
AE,-300731,-108118329.528242,177.085561,-0.000000
WS,-300731,-108118237.727269,267.085587,-23.424444
VE,-300702,-108107917.451155,357.089571,-0.000000
SS,-300702,-108107826.637790,87.089597,23.423800
AE,-300702,-108107737.494144,177.089641,-0.000000
WS,-300702,-108107645.712587,267.089667,-23.423789
VE,-300673,-108097325.430557,357.093643,-0.000000
SS,-300673,-108097234.597984,87.093669,23.423136
AE,-300673,-108097145.459953,177.093713,-0.000000
WS,-300673,-108097053.697864,267.093738,-23.423124
VE,-300644,-108086733.410070,357.097707,0.000000
SS,-300644,-108086642.558232,87.097733,23.422462
AE,-300644,-108086553.425670,177.097776,-0.000000
WS,-300644,-108086461.683099,267.097802,-23.422450
VE,-300615,-108076141.389694,357.101763,0.000000
SS,-300615,-108076050.518535,87.101788,23.421778
AE,-300615,-108075961.391294,177.101832,-0.000000
WS,-300615,-108075869.668291,267.101857,-23.421766
VE,-300586,-108065549.369430,357.105810,0.000000
SS,-300586,-108065458.478893,87.105835,23.421085
AE,-300586,-108065369.356827,177.105879,-0.000000
WS,-300586,-108065277.653440,267.105904,-23.421073
VE,-300557,-108054957.349277,357.109849,0.000000
SS,-300557,-108054866.439307,87.109874,23.420382
AE,-300557,-108054777.322268,177.109918,-0.000000
WS,-300557,-108054685.638545,267.109943,-23.420370
VE,-300528,-108044365.329236,357.113880,-0.000000
SS,-300528,-108044274.399779,87.113904,23.419669
AE,-300528,-108044185.287618,177.113948,-0.000000
WS,-300528,-108044093.623605,267.113973,-23.419657
VE,-300499,-108033773.309305,357.117901,-0.000000
SS,-300499,-108033682.360308,87.117926,23.418947
AE,-300499,-108033593.252877,177.117969,-0.000000
WS,-300499,-108033501.608620,267.117994,-23.418934
VE,-300470,-108023181.289485,357.121914,-0.000000
SS,-300470,-108023090.320897,87.121938,23.418215
AE,-300470,-108023001.218046,177.121982,-0.000000
WS,-300470,-108022909.593589,267.122006,-23.418202
VE,-300441,-108012589.269776,357.125918,0.000000
SS,-300441,-108012498.281546,87.125942,23.417473
AE,-300441,-108012409.183125,177.125986,-0.000000
WS,-300441,-108012317.578511,267.126010,-23.417460
VE,-300412,-108001997.250178,357.129913,-0.000000
SS,-300412,-108001906.242256,87.129937,23.416722
AE,-300412,-108001817.148114,177.129981,-0.000000
WS,-300412,-108001725.563386,267.130005,-23.416709
VE,-300383,-107991405.230690,357.133899,-0.000000
SS,-300383,-107991314.203027,87.133923,23.415961
AE,-300383,-107991225.113014,177.133966,-0.000000
WS,-300383,-107991133.548212,267.133990,-23.415948
VE,-300354,-107980813.211313,357.137875,0.000000
SS,-300354,-107980722.163861,87.137899,23.415191
AE,-300354,-107980633.077825,177.137943,-0.000000
WS,-300354,-107980541.532989,267.137966,-23.415177
VE,-300325,-107970221.192046,357.141842,-0.000000
SS,-300325,-107970130.124758,87.141866,23.414411
AE,-300325,-107970041.042547,177.141910,-0.000000
WS,-300325,-107969949.517717,267.141933,-23.414397
VE,-300296,-107959629.172889,357.145800,-0.000000
SS,-300296,-107959538.085720,87.145823,23.413621
AE,-300296,-107959449.007181,177.145867,-0.000000
WS,-300296,-107959357.502395,267.145890,-23.413608
VE,-300267,-107949037.153842,357.149748,0.000000
SS,-300267,-107948946.046746,87.149771,23.412822
AE,-300267,-107948856.971727,177.149815,-0.000000
WS,-300267,-107948765.487021,267.149838,-23.412809
VE,-300238,-107938445.134905,357.153687,-0.000000
SS,-300238,-107938354.007839,87.153710,23.412014
AE,-300238,-107938264.936187,177.153754,-0.000000
WS,-300238,-107938173.471596,267.153776,-23.412000
VE,-300209,-107927853.116078,357.157615,-0.000000
SS,-300209,-107927761.968999,87.157638,23.411196
AE,-300209,-107927672.900559,177.157682,-0.000000
WS,-300209,-107927581.456118,267.157705,-23.411182
VE,-300180,-107917261.097360,357.161534,-0.000000
SS,-300180,-107917169.930227,87.161557,23.410369
AE,-300180,-107917080.864844,177.161601,-0.000000
WS,-300180,-107916989.440587,267.161623,-23.410354
VE,-300151,-107906669.078752,357.165443,-0.000000
SS,-300151,-107906577.891524,87.165465,23.409532
AE,-300151,-107906488.829044,177.165509,-0.000000
WS,-300151,-107906397.425002,267.165531,-23.409517
VE,-300122,-107896077.060252,357.169341,-0.000000
SS,-300122,-107895985.852890,87.169363,23.408685
AE,-300122,-107895896.793157,177.169408,-0.000000
WS,-300122,-107895805.409362,267.169429,-23.408671
VE,-300093,-107885485.041862,357.173230,0.000000
SS,-300093,-107885393.814327,87.173251,23.407830
AE,-300093,-107885304.757186,177.173296,-0.000000
WS,-300093,-107885213.393667,267.173317,-23.407815
VE,-300064,-107874893.023580,357.177108,-0.000000
SS,-300064,-107874801.775835,87.177129,23.406965
AE,-300064,-107874712.721130,177.177173,-0.000000
WS,-300064,-107874621.377915,267.177195,-23.406950
VE,-300035,-107864301.005408,357.180975,-0.000000
SS,-300035,-107864209.737416,87.180996,23.406090
AE,-300035,-107864120.684989,177.181041,-0.000000
WS,-300035,-107864029.362107,267.181062,-23.406075
VE,-300006,-107853708.987343,357.184832,-0.000000
SS,-300006,-107853617.699070,87.184853,23.405206
AE,-300006,-107853528.648764,177.184897,-0.000000
WS,-300006,-107853437.346241,267.184918,-23.405191
VE,-299977,-107843116.969387,357.188678,0.000000
SS,-299977,-107843025.660799,87.188699,23.404313
AE,-299977,-107842936.612456,177.188743,-0.000000
WS,-299977,-107842845.330317,267.188764,-23.404298
VE,-299948,-107832524.951538,357.192513,-0.000000
SS,-299948,-107832433.622602,87.192534,23.403410
AE,-299948,-107832344.576065,177.192578,-0.000000
WS,-299948,-107832253.314334,267.192599,-23.403395
VE,-299919,-107821932.933797,357.196337,0.000000
SS,-299919,-107821841.584482,87.196358,23.402499
AE,-299919,-107821752.539591,177.196403,-0.000000
WS,-299919,-107821661.298292,267.196423,-23.402483
VE,-299890,-107811340.916164,357.200151,-0.000000
SS,-299890,-107811249.546438,87.200171,23.401578
AE,-299890,-107811160.503035,177.200216,-0.000000
WS,-299890,-107811069.282188,267.200235,-23.401562
VE,-299861,-107800748.898638,357.203953,-0.000000
SS,-299861,-107800657.508472,87.203973,23.400647
AE,-299861,-107800568.466398,177.204018,-0.000000
WS,-299861,-107800477.266024,267.204037,-23.400631
VE,-299832,-107790156.881218,357.207744,-0.000000
SS,-299832,-107790065.470585,87.207764,23.399708
AE,-299832,-107789976.429679,177.207808,-0.000000
WS,-299832,-107789885.249797,267.207828,-23.399692
VE,-299803,-107779564.863906,357.211523,-0.000000
SS,-299803,-107779473.432778,87.211543,23.398759
AE,-299803,-107779384.392880,177.211588,-0.000000
WS,-299803,-107779293.233508,267.211607,-23.398743
VE,-299774,-107768972.846700,357.215291,-0.000000
SS,-299774,-107768881.395051,87.215311,23.397801
AE,-299774,-107768792.356001,177.215356,-0.000000
WS,-299774,-107768701.217155,267.215374,-23.397784
VE,-299745,-107758380.829600,357.219048,-0.000000
SS,-299745,-107758289.357406,87.219067,23.396834
AE,-299745,-107758200.319042,177.219112,-0.000000
WS,-299745,-107758109.200738,267.219130,-23.396817
VE,-299716,-107747788.812605,357.222793,-0.000000
SS,-299716,-107747697.319843,87.222811,23.395857
AE,-299716,-107747608.282003,177.222856,-0.000000
WS,-299716,-107747517.184257,267.222875,-23.395841
VE,-299687,-107737196.795717,357.226525,0.000000
SS,-299687,-107737105.282364,87.226544,23.394872
AE,-299687,-107737016.244887,177.226589,-0.000000
WS,-299687,-107736925.167709,267.226607,-23.394855
VE,-299658,-107726604.778933,357.230246,-0.000000
SS,-299658,-107726513.244969,87.230265,23.393877
AE,-299658,-107726424.207692,177.230310,-0.000000
WS,-299658,-107726333.151096,267.230328,-23.393860
VE,-299629,-107716012.762255,357.233955,-0.000000
SS,-299629,-107715921.207659,87.233974,23.392874
AE,-299629,-107715832.170420,177.234019,-0.000000
WS,-299629,-107715741.134415,267.234036,-23.392856
VE,-299600,-107705420.745681,357.237652,-0.000000
SS,-299600,-107705329.170435,87.237670,23.391861
AE,-299600,-107705240.133070,177.237715,-0.000000
WS,-299600,-107705149.117666,267.237733,-23.391843
VE,-299571,-107694828.729211,357.241337,-0.000000
SS,-299571,-107694737.133298,87.241355,23.390839
AE,-299571,-107694648.095645,177.241400,-0.000000
WS,-299571,-107694557.100849,267.241417,-23.390821
VE,-299542,-107684236.712845,357.245009,-0.000000
SS,-299542,-107684145.096249,87.245027,23.389808
AE,-299542,-107684056.058143,177.245072,-0.000000
WS,-299542,-107683965.083963,267.245088,-23.389790
VE,-299513,-107673644.696583,357.248669,-0.000000
SS,-299513,-107673553.059289,87.248686,23.388768
AE,-299513,-107673464.020566,177.248731,0.000000
WS,-299513,-107673373.067006,267.248748,-23.388750
VE,-299484,-107663052.680423,357.252316,-0.000000
SS,-299484,-107662961.022419,87.252333,23.387719
AE,-299484,-107662871.982915,177.252378,-0.000000
WS,-299484,-107662781.049979,267.252394,-23.387701
VE,-299455,-107652460.664367,357.255950,-0.000000
SS,-299455,-107652368.985639,87.255967,23.386662
AE,-299455,-107652279.945189,177.256012,-0.000000
WS,-299455,-107652189.032880,267.256028,-23.386643
VE,-299426,-107641868.648413,357.259572,-0.000000
SS,-299426,-107641776.948951,87.259589,23.385595
AE,-299426,-107641687.907389,177.259634,-0.000000
WS,-299426,-107641597.015709,267.259650,-23.385577
VE,-299397,-107631276.632561,357.263181,0.000000
SS,-299397,-107631184.912356,87.263197,23.384519
AE,-299397,-107631095.869517,177.263242,-0.000000
WS,-299397,-107631004.998465,267.263258,-23.384501
VE,-299368,-107620684.616811,357.266776,-0.000000
SS,-299368,-107620592.875854,87.266793,23.383434
AE,-299368,-107620503.831572,177.266838,-0.000000
WS,-299368,-107620412.981147,267.266853,-23.383416
VE,-299339,-107610092.601163,357.270359,-0.000000
SS,-299339,-107610000.839447,87.270375,23.382341
AE,-299339,-107609911.793555,177.270420,-0.000000
WS,-299339,-107609820.963755,267.270435,-23.382322
VE,-299310,-107599500.585615,357.273928,-0.000000
SS,-299310,-107599408.803135,87.273944,23.381239
AE,-299310,-107599319.755468,177.273989,-0.000000
WS,-299310,-107599228.946288,267.274004,-23.381220
VE,-299281,-107588908.570167,357.277485,-0.000000
SS,-299281,-107588816.766919,87.277500,23.380128
AE,-299281,-107588727.717309,177.277545,-0.000000
WS,-299281,-107588636.928744,267.277560,-23.380109
VE,-299252,-107578316.554819,357.281027,-0.000000
SS,-299252,-107578224.730800,87.281042,23.379008
AE,-299252,-107578135.679081,177.281088,-0.000000
WS,-299252,-107578044.911125,267.281102,-23.378989
VE,-299223,-107567724.539571,357.284556,-0.000000
SS,-299223,-107567632.694779,87.284571,23.377879
AE,-299223,-107567543.640784,177.284616,0.000000
WS,-299223,-107567452.893427,267.284631,-23.377860
VE,-299194,-107557132.524422,357.288072,-0.000000
SS,-299194,-107557040.658858,87.288087,23.376741
AE,-299194,-107556951.602418,177.288132,-0.000000
WS,-299194,-107556860.875652,267.288146,-23.376722
VE,-299165,-107546540.509372,357.291573,-0.000000
SS,-299165,-107546448.623036,87.291588,23.375595
AE,-299165,-107546359.563983,177.291633,-0.000000
WS,-299165,-107546268.857798,267.291647,-23.375576
VE,-299136,-107535948.494420,357.295061,-0.000000
SS,-299136,-107535856.587315,87.295076,23.374440
AE,-299136,-107535767.525482,177.295121,0.000000
WS,-299136,-107535676.839865,267.295134,-23.374421
VE,-299107,-107525356.479565,357.298535,-0.000000
SS,-299107,-107525264.551696,87.298549,23.373277
AE,-299107,-107525175.486914,177.298594,-0.000000
WS,-299107,-107525084.821851,267.298608,-23.373257
VE,-299078,-107514764.464808,357.301995,-0.000000
SS,-299078,-107514672.516180,87.302009,23.372105
AE,-299078,-107514583.448280,177.302054,-0.000000
WS,-299078,-107514492.803757,267.302067,-23.372085
VE,-299049,-107504172.450147,357.305440,0.000000
SS,-299049,-107504080.480767,87.305454,23.370924
AE,-299049,-107503991.409581,177.305499,-0.000000
WS,-299049,-107503900.785580,267.305512,-23.370904
VE,-299020,-107493580.435583,357.308872,0.000000
SS,-299020,-107493488.445459,87.308885,23.369734
AE,-299020,-107493399.370817,177.308930,-0.000000
WS,-299020,-107493308.767322,267.308943,-23.369714
VE,-298991,-107482988.421114,357.312289,0.000000
SS,-298991,-107482896.410257,87.312302,23.368536
AE,-298991,-107482807.331989,177.312347,-0.000000
WS,-298991,-107482716.748980,267.312359,-23.368516
VE,-298962,-107472396.406740,357.315691,0.000000
SS,-298962,-107472304.375160,87.315704,23.367330
AE,-298962,-107472215.293099,177.315749,-0.000000
WS,-298962,-107472124.730555,267.315761,-23.367309
VE,-298933,-107461804.392461,357.319079,0.000000
SS,-298933,-107461712.340171,87.319091,23.366114
AE,-298933,-107461623.254145,177.319137,-0.000000
WS,-298933,-107461532.712045,267.319148,-23.366094
VE,-298904,-107451212.378276,357.322452,-0.000000
SS,-298904,-107451120.305290,87.322464,23.364891
AE,-298904,-107451031.215130,177.322509,-0.000000
WS,-298904,-107450940.693449,267.322521,-23.364870
VE,-298875,-107440620.364184,357.325810,-0.000000
SS,-298875,-107440528.270518,87.325822,23.363659
AE,-298875,-107440439.176055,177.325867,-0.000000
WS,-298875,-107440348.674768,267.325879,-23.363638
VE,-298846,-107430028.350186,357.329153,-0.000000
SS,-298846,-107429936.235856,87.329165,23.362418
AE,-298846,-107429847.136919,177.329210,-0.000000
WS,-298846,-107429756.656001,267.329222,-23.362397
VE,-298817,-107419436.336279,357.332482,-0.000000
SS,-298817,-107419344.201305,87.332493,23.361169
AE,-298817,-107419255.097723,177.332539,-0.000000
WS,-298817,-107419164.637146,267.332549,-23.361148
VE,-298788,-107408844.322464,357.335795,0.000000
SS,-298788,-107408752.166866,87.335806,23.359912
AE,-298788,-107408663.058469,177.335852,0.000000
WS,-298788,-107408572.618203,267.335862,-23.359890
VE,-298759,-107398252.308740,357.339093,0.000000
SS,-298759,-107398160.132539,87.339104,23.358646
AE,-298759,-107398071.019157,177.339149,-0.000000
WS,-298759,-107397980.599172,267.339160,-23.358624
VE,-298730,-107387660.295107,357.342376,-0.000000
SS,-298730,-107387568.098327,87.342387,23.357372
AE,-298730,-107387478.979787,177.342432,-0.000000
WS,-298730,-107387388.580051,267.342442,-23.357350
VE,-298701,-107377068.281564,357.345643,-0.000000
SS,-298701,-107376976.064228,87.345654,23.356089
AE,-298701,-107376886.940362,177.345699,-0.000000
WS,-298701,-107376796.560840,267.345709,-23.356068
VE,-298672,-107366476.268110,357.348895,0.000000
SS,-298672,-107366384.030245,87.348905,23.354799
AE,-298672,-107366294.900881,177.348950,-0.000000
WS,-298672,-107366204.541539,267.348960,-23.354777
VE,-298643,-107355884.254744,357.352131,-0.000000
SS,-298643,-107355791.996378,87.352141,23.353500
AE,-298643,-107355702.861345,177.352186,-0.000000
WS,-298643,-107355612.522146,267.352195,-23.353478
VE,-298614,-107345292.241466,357.355351,-0.000000
SS,-298614,-107345199.962628,87.355361,23.352192
AE,-298614,-107345110.821755,177.355406,-0.000000
WS,-298614,-107345020.502661,267.355415,-23.352170
VE,-298585,-107334700.228276,357.358556,0.000000
SS,-298585,-107334607.928997,87.358565,23.350877
AE,-298585,-107334518.782112,177.358610,-0.000000
WS,-298585,-107334428.483084,267.358619,-23.350855
VE,-298556,-107324108.215172,357.361744,0.000000
SS,-298556,-107324015.895484,87.361754,23.349553
AE,-298556,-107323926.742417,177.361799,-0.000000
WS,-298556,-107323836.463413,267.361807,-23.349531
VE,-298527,-107313516.202154,357.364917,-0.000000
SS,-298527,-107313423.862091,87.364926,23.348222
AE,-298527,-107313334.702670,177.364971,-0.000000
WS,-298527,-107313244.443648,267.364979,-23.348199
VE,-298498,-107302924.189221,357.368073,0.000000
SS,-298498,-107302831.828819,87.368082,23.346882
AE,-298498,-107302742.662873,177.368127,0.000000
WS,-298498,-107302652.423789,267.368135,-23.346859
VE,-298469,-107292332.176373,357.371213,0.000000
SS,-298469,-107292239.795668,87.371222,23.345534
AE,-298469,-107292150.623026,177.371267,-0.000000
WS,-298469,-107292060.403834,267.371275,-23.345511
VE,-298440,-107281740.163608,357.374337,-0.000000
SS,-298440,-107281647.762639,87.374345,23.344178
AE,-298440,-107281558.583130,177.374390,-0.000000
WS,-298440,-107281468.383783,267.374398,-23.344155
