Type,Model Year,JD,RA (deg),Obliquity (deg),World Angle (deg),Distance (AU)
PERI,2004,2452643.354474,,,76.979366,0.984674
PERI,2005,2453008.614101,,,76.976144,0.984674
PERI,2006,2453373.873728,,,76.972921,0.984674
PERI,2007,2453739.133355,,,76.969698,0.984674
PERI,2008,2454104.392982,,,76.966475,0.984674
PERI,2009,2454469.652609,,,76.963253,0.984674
PERI,2010,2454834.912236,,,76.960030,0.984674
APH,1990,2447712.349511,,,257.022874,1.015326
APH,1991,2448077.609138,,,257.019651,1.015326
APH,1992,2448442.868765,,,257.016428,1.015326
APH,1993,2448808.128392,,,257.013206,1.015326
APH,1994,2449173.388019,,,257.009983,1.015326
APH,1995,2449538.647646,,,257.006760,1.015326
APH,1996,2449903.907273,,,257.003537,1.015326
APH,1997,2450269.166900,,,257.000314,1.015326
APH,1998,2450634.426527,,,256.997092,1.015326
APH,1999,2450999.686154,,,256.993869,1.015326
APH,2000,2451364.945781,,,256.990646,1.015326
APH,2001,2451730.205408,,,256.987423,1.015326
APH,2002,2452095.465035,,,256.984201,1.015326
APH,2003,2452460.724662,,,256.980978,1.015326
APH,2004,2452825.984289,,,256.977755,1.015326
APH,2005,2453191.243916,,,256.974532,1.015326
APH,2006,2453556.503543,,,256.971309,1.015326
APH,2007,2453921.763170,,,256.968087,1.015326
APH,2008,2454287.022797,,,256.964864,1.015326
APH,2009,2454652.282424,,,256.961641,1.015326
APH,2010,2455017.542051,,,256.958418,1.015326
