year_ce,age_kyr_BP,obliquity_deg,eccentricity,perihelion_deg,e_sin_peri,e_cos_peri,eps_anom,e_squared,inclination_deg,incl_anom
1950.0000,0,23.44579540058835,0.016714280257620274,102.09222885421332,0.016343418103794586,-0.0035014067479848987,-0.0042045994116506336,0.00027936716453027486,1.5804407282236124,0.09916072822361244
950.0000,1,23.576130670053963,0.01673705247604068,84.90272424629075,0.016670862303109994,0.0014870358625418696,0.12613067005396417,0.0002801289255857395,1.6155807797457753,0.13430077974577537
-50.0000,2,23.70541357526233,0.016648792658222833,67.78994656603209,0.01541352337537911,0.006293297556379822,0.255413575262331,0.0002771822969764945,1.650296086588797,0.16901608658879708
-1050.0000,3,23.831450524265865,0.01645570294023363,51.07763586892088,0.012802503611729656,0.010338571493628258,0.38145052426586545,0.00027079015925721373,1.6844769762529799,0.20319697625297994
-2050.0000,4,23.952138150395783,0.01617166598304916,34.90596704689233,0.009253933201928665,0.013262258516615926,0.5021381503957834,0.00026152278066730937,1.7180154645678747,0.23673546456787475
-3050.0000,5,24.06550354531161,0.015817931002960844,19.1790014672888,0.005196514868223337,0.01493998575764929,0.6155035453116113,0.00025020694121442985,1.7508055968355665,0.26952559683556654
-4050.0000,6,24.169740130922513,0.015422456753528541,3.6054928640032813,0.0009698596787361861,0.015391931149729712,0.7197401309225135,0.0002378521723144581,1.7827437825624617,0.30146378256246176
-5050.0000,7,24.263238914607726,0.015018678119112954,347.761859886763,-0.0031835901000007746,0.014677378734661692,0.8132389146077266,0.00022556069244552223,1.8137291227220749,0.33244912272207494
-6050.0000,8,24.344615002390583,0.014643396935735034,331.15774772218083,-0.007063971282236444,0.012826900776930997,0.8946150023905837,0.0002144290738174942,1.8436637285149597,0.3623837285149598
-7050.0000,9,24.41272933786284,0.014333541529144742,313.3449848723203,-0.010423839801092866,0.009838392987112744,0.9627293378628394,0.00020545041276771699,1.8724530306187286,0.39117303061872866
-8050.0000,10,24.46670569584858,0.014121817576157896,294.1177545165292,-0.012889090257244287,0.005770362553158378,1.0167056958485823,0.00019942573165428206,1.9000060779511818,0.4187260779511819
-9050.0000,11,24.505942994330717,0.014031839381892687,273.7693646789585,-0.01400148516625233,0.0009224584426685537,1.0559429943307173,0.00019689251643923453,1.9262358250027114,0.44495582500271147
-10050.0000,12,24.530123000966178,0.014073974755217515,253.14380500705283,-0.013469294287592797,-0.004081038691892054,1.0801230009661786,0.0001980767654104999,1.9510594068302374,0.46977940683023744
-11050.0000,13,24.539213506297802,0.014243343251088461,233.24712668388293,-0.011412105695596192,-0.008522714975925699,1.0892135062978028,0.00020287282696832722,1.9743984008439024,0.49311840084390246
-12050.0000,14,24.533467019506574,0.01452077219806797,214.7005105665403,-0.008266484658237965,-0.011938092671080253,1.0834670195065748,0.0002108528252281837,1.996179074559485,0.514899074559485
-13050.0000,15,24.513415019858854,0.014876317842270694,197.5452820242881,-0.004484606557438894,-0.014184256644929881,1.063415019858855,0.0002213048325442614,2.0163326185338692,0.5350526185338693
-14050.0000,16,24.479857774242724,0.015274042799131622,181.4338656652899,-0.0003822033623153621,-0.01526926010059228,1.0298577742427248,0.00023329638342970454,2.0347953637476413,0.5535153637476413
-15050.0000,17,24.43384971515057,0.01567665983371524,165.8792666524614,0.003824571346157812,-0.01520297068207952,0.9838497151505692,0.0002457576635420208,2.0515089827480715,0.5702289827480715
-16050.0000,18,24.376680370879612,0.01604920409586415,150.40275971239316,0.007926701676006261,-0.013955083398185129,0.9266803708796125,0.00025757695211070265,2.0664206739170408,0.5851406739170408
-17050.0000,19,24.309850856713453,0.01636153424973755,134.6146960178412,0.011646891475837265,-0.011491288959703527,0.8598508567134537,0.0002676998030053349,2.0794833282817655,0.5982033282817656
-18050.0000,20,24.235045977552527,0.016589849791465494,118.27958831847536,0.01460978804560731,-0.00785984792256297,0.785045977552528,0.0002752231161033877,2.090655678341335,0.6093756783413351
-19050.0000,21,24.15410206280481,0.016717526924569837,101.38193634319487,0.016388750701489534,-0.003299175187549723,0.7041020628048109,0.0002794757064737174,2.0999024284388756,0.6186224284388757
-20050.0000,22,24.06897075587798,0.01673553654580074,84.14397671679671,0.016648200831949747,0.0017075106251206334,0.6189707558779816,0.0002800781834758322,2.107194366267498,0.625914366267498
-21050.0000,23,23.98167911417925,0.016642619917559425,66.93615148398021,0.015312356404646304,0.006519857288118585,0.5316791141792514,0.0002769767977203457,2.112508455157731,0.6312284551577312
-22050.0000,24,23.894286539636006,0.01644531046431015,50.10560657480437,0.012617301276081851,0.010547603745691825,0.44428653963600695,0.00027044823626754894,2.115827906854907,0.6345479068549071
-23050.0000,25,23.808839249591266,0.016157813536032708,33.817935610401946,0.008992723478977714,0.01342407772235563,0.35883924959126645,0.0002610749382652018,2.117142234556563,0.635862234556563
-24050.0000,26,23.72732320429346,0.0158016813414424,17.996726327966826,0.0048821294043968925,0.015028570979810826,0.27732320429345947,0.0002496931332164889,2.116447286042323,0.6351672860423232
-25050.0000,27,23.651616615691175,0.015405136727489027,2.359024579661309,0.0006340925951494947,0.015392081216437493,0.20161661569117584,0.00023731823759263134,2.1137452567915775,0.6324652567915776
-26050.0000,28,23.58344335331206,0.015001808739532238,346.48378825885175,-0.003506230012755597,0.014586316072098454,0.13344335331206025,0.00022505426545750583,2.1090446830475322,0.6277646830475323
-27050.0000,29,23.52432871321197,0.014628579389186797,329.88950527432735,-0.007338707666401895,0.012654592238900263,0.07432871321196899,0.00021399533494574074,2.1023604148495334,0.6210804148495335
-28050.0000,30,23.475559100636744,0.01432229233036168,312.1432203416334,-0.010619548692612857,0.00961005947752466,0.025559100636744603,0.000205128057596337,2.093713569118864,0.6124335691188643
-29050.0000,31,23.43814717396751,0.014115364635063743,293.04450793649085,-0.012988973384989295,0.005525403983859275,-0.01185282603248794,0.0001992435187808082,2.083131462946226,0.6018514629462262
-30050.0000,32,23.41280389128115,0.014030919492492728,272.8671185534904,-0.014013355972988544,0.0007018234672043213,-0.03719610871884882,0.0001968667018048124,2.070647527291664,0.5893675272916639
-31050.0000,33,23.399918686537667,0.014078694969427635,252.41191705522215,-0.013420565785072343,-0.004254182183538052,-0.05008131346233213,0.00019820965204218698,2.0563012013695716,0.5750212013695717
-32050.0000,34,23.399548687996212,0.014253159632755625,232.6392337426123,-0.011328843712872991,-0.00864926931284444,-0.05045131200378705,0.00020315255951681448,2.040137808052434,0.558857808052434
-33050.0000,35,23.411417498110946,0.014534594856102772,214.1494102749748,-0.008159036711723893,-0.012028489829059628,-0.03858250188905288,0.00021125444763104914,2.0222084106869382,0.5409284106869383
-34050.0000,36,23.434923614017475,0.014892700039159322,196.9950105531143,-0.004352963859584401,-0.014242338996580868,-0.015076385982524698,0.00022179251445637605,2.002569651774791,0.5212896517747909
-35050.0000,37,23.469158119667856,0.015291390283162879,180.8523635130814,-0.00022747473725653615,-0.01528969823233664,0.019158119667856965,0.00023382661679200811,1.9812835740278922,0.5000035740278923
-36050.0000,38,23.512930864710036,0.015693410850097025,165.25207152628445,0.0039950242772171934,-0.015176393680133245,0.06293086471003662,0.00024628314410994303,1.958417424363161,0.477137424363161
-37050.0000,39,23.564803996659073,0.01606395965058177,149.72610936225647,0.00809839027430775,-0.013873243118338152,0.1148039966590737,0.0002580507996555192,1.9340434414562804,0.45276344145628045
